Fri Mar 14 18:26:39 2025    financial.prof

         375451 function calls (373536 primitive calls) in 1.899 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       81    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1093(get_code)
     2692    0.000    0.000    0.000    0.000 /opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/lib/python3.13/_markupbase.py:36(getpos)
       23    0.000    0.000    0.001    0.000 /Users/haxarasu/Code/school_21/DS_bootcamp/DS_Bootcamp.Day03-1/ex04/salvados/lib/python3.13/site-packages/h11/_receivebuffer.py:104(maybe_extract_lines)
    71/15    0.000    0.000    0.001    0.000 /opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/lib/python3.13/re/_compiler.py:37(_compile)
      301    0.000    0.000    0.001    0.000 /Users/haxarasu/Code/school_21/DS_bootcamp/DS_Bootcamp.Day03-1/ex04/salvados/lib/python3.13/site-packages/h11/_receivebuffer.py:57(__bool__)
      259    0.000    0.000    0.005    0.000 /Users/haxarasu/Code/school_21/DS_bootcamp/DS_Bootcamp.Day03-1/ex04/salvados/lib/python3.13/site-packages/httpx/_decoders.py:95(decode)
     2542    0.000    0.000    0.000    0.000 /opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/lib/python3.13/html/parser.py:127(clear_cdata_mode)
     1010    0.000    0.000    0.000    0.000 /opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/lib/python3.13/typing.py:1294(_is_dunder)
      519    0.000    0.000    0.000    0.000 /Users/haxarasu/Code/school_21/DS_bootcamp/DS_Bootcamp.Day03-1/ex04/salvados/lib/python3.13/site-packages/httpx/_decoders.py:237(decode)
      174    0.000    0.000    0.001    0.000 /opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/lib/python3.13/typing.py:173(_type_check)
       84    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:833(spec_from_file_location)
       91    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
      518    0.000    0.000    0.000    0.000 <string>:5(__eq__)
      265    0.000    0.000    0.000    0.000 /Users/haxarasu/Code/school_21/DS_bootcamp/DS_Bootcamp.Day03-1/ex04/salvados/lib/python3.13/site-packages/h11/_state.py:301(_fire_event_triggered_transitions)
